mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
58111.33327,17.23362,0.00099,17.22907,0.00133,17.30194,0.00143,18.98390,0.00342,WFI
58112.28150,17.23010,0.00104,17.23229,0.00104,17.30035,0.00305,18.97481,0.00284,WFI
58113.30589,17.23301,0.00098,17.23183,0.00175,17.30097,0.00212,18.97141,0.00242,WFI
58114.28128,17.23368,0.00248,17.23308,0.00098,17.30473,0.00223,18.96210,0.00448,WFI
58115.28676,17.23750,0.00100,17.23406,0.00099,17.30381,0.00102,18.97816,0.00220,WFI
58116.29252,17.24160,0.00101,17.23691,0.00101,17.30509,0.00163,18.98058,0.00703,WFI
58117.29916,17.24073,0.00120,17.23862,0.00155,17.30567,0.00105,18.98442,0.00276,WFI
58118.28408,17.23692,0.00109,17.23570,0.00143,17.30624,0.00112,18.96946,0.00302,WFI
58119.29834,17.23926,0.00152,17.24004,0.00209,17.31038,0.00157,18.96888,0.00495,WFI
58123.29841,17.23887,0.00168,17.23832,0.00154,17.31130,0.00252,18.96962,0.00318,WFI
58124.34833,17.24202,0.00223,17.23693,0.00103,17.31532,0.00315,18.97133,0.00354,WFI
58125.34373,17.24295,0.00139,17.23805,0.00139,17.31218,0.00143,18.97641,0.00407,WFI
58126.31199,17.24662,0.00217,17.23545,0.00165,17.31643,0.00172,18.98980,0.00791,WFI
58127.33373,17.24235,0.00117,17.23829,0.00453,17.31018,0.00225,18.97269,0.00485,WFI
58128.27052,17.24811,0.00108,17.24644,0.00108,17.31738,0.00110,18.97449,0.00242,WFI
58129.33266,17.23916,0.00101,17.23746,0.00171,17.30871,0.00168,18.96908,0.00224,WFI
58130.33836,17.24406,0.00098,17.24539,0.00098,17.31462,0.00100,18.96561,0.01615,WFI
58132.32337,17.24680,0.00110,17.24600,0.00115,17.31119,0.00181,18.98229,0.00348,WFI
58134.31801,17.25034,0.00099,17.24575,0.00127,17.31079,0.00113,18.98360,0.00577,WFI
58135.28459,17.24452,0.00176,17.24604,0.00209,17.30648,0.00172,18.96809,0.00249,WFI
58136.29035,17.24447,0.00097,17.24477,0.00121,17.30534,0.00100,18.97541,0.00218,WFI
58137.29136,17.24518,0.00168,17.24907,0.00102,17.30944,0.00104,18.97449,0.00742,WFI
58138.30375,17.24673,0.00097,17.24878,0.00163,17.30955,0.00100,18.98709,0.00648,WFI
58139.26633,17.24611,0.00093,17.25422,0.00144,17.30907,0.00134,18.97907,0.00268,WFI
58140.26845,17.25078,0.00186,17.25938,0.00121,17.31425,0.00095,18.98270,0.00470,WFI
58141.28895,17.24610,0.00097,17.25806,0.00189,17.30931,0.00100,18.98468,0.00229,WFI
58142.27084,17.25116,0.00093,17.26219,0.00253,17.31298,0.00095,18.97094,0.00319,WFI
58143.28281,17.24647,0.00095,17.26372,0.00178,17.31289,0.00123,18.98389,0.00413,WFI
58144.27516,17.24842,0.00175,17.26519,0.00230,17.31451,0.00096,18.97052,0.00384,WFI
58145.26738,17.25077,0.00106,17.27030,0.00296,17.31856,0.00109,18.97272,0.00556,WFI
58146.28885,17.24647,0.00204,17.26553,0.00111,17.31115,0.00116,18.97160,0.00227,WFI
58147.24192,17.25272,0.00125,17.27010,0.00149,17.31670,0.00133,18.97689,0.00364,WFI
58148.26710,17.25103,0.00131,17.26906,0.00281,17.31715,0.00136,18.98591,0.00549,WFI
58149.30020,17.24460,0.00171,17.26514,0.00160,17.31365,0.00164,18.97246,0.00540,WFI
58150.25291,17.24977,0.00341,17.26674,0.00387,17.30823,0.00392,18.96364,0.01001,WFI
58151.24889,17.24779,0.00136,17.26497,0.00137,17.31575,0.00176,18.97164,0.00412,WFI
58156.25355,17.25172,0.00100,17.27114,0.00101,17.31872,0.00133,18.98912,0.00581,WFI
58159.29975,17.25297,0.00169,17.27370,0.00095,17.32328,0.00239,18.96919,0.01099,WFI
58160.28109,17.25331,0.00188,17.27835,0.00111,17.32579,0.00113,18.99826,0.00307,WFI
58161.39526,17.25285,0.00306,17.27745,0.00387,17.32352,0.00392,18.97813,0.01001,WFI
58163.24980,17.25394,0.00115,17.28042,0.00112,17.32661,0.00194,18.97028,0.00340,WFI
58164.29507,17.25658,0.00287,17.28155,0.00091,17.32681,0.00280,18.97621,0.00416,WFI
58165.24167,17.26033,0.00107,17.28328,0.00108,17.32492,0.00109,19.00481,0.00857,WFI
58166.18713,17.25812,0.00117,17.28172,0.00097,17.31940,0.00098,18.98126,0.00451,WFI
58167.27119,17.26239,0.00098,17.28105,0.00099,17.32334,0.00181,18.98458,0.00433,WFI
58168.22283,17.25710,0.00102,17.28159,0.00336,17.32123,0.00104,18.98427,0.00748,WFI
58169.35992,17.26248,0.00106,17.27843,0.00109,17.32436,0.00108,19.00035,0.00232,WFI
58170.18090,17.26161,0.00105,17.28121,0.00129,17.32341,0.00107,18.98085,0.00212,WFI
