mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
58222.41223,20.20070,0.01192,21.19691,0.02798,WFI
58223.40300,20.20160,0.01409,21.22040,0.01928,WFI
58224.39938,20.21060,0.00593,21.23521,0.01524,WFI
58225.40055,20.21874,0.02776,21.21537,0.02308,WFI
58227.39347,20.18186,0.00763,21.25994,0.01823,WFI
58228.39046,20.21788,0.01807,21.25086,0.02182,WFI
58229.41058,20.22686,0.00556,21.23776,0.02431,WFI
58230.40979,20.26812,0.01186,21.19870,0.01351,WFI
58231.41557,20.24515,0.02275,21.21403,0.02533,WFI
58232.41337,20.23390,0.00837,21.27844,0.01532,WFI
58233.41610,20.25944,0.00908,21.17148,0.01994,WFI
58235.40702,20.24163,0.01602,21.24998,0.01384,WFI
58236.39902,20.13550,0.03737,21.53777,0.06637,WFI
58238.39081,20.20962,0.01589,21.18161,0.05333,WFI
58241.41333,20.21871,0.01453,21.19638,0.04375,WFI
58242.41008,20.23502,0.00887,21.18987,0.02076,WFI
58247.42824,20.30357,0.02393,21.08548,0.03860,WFI
58249.40931,20.26178,0.02421,21.14551,0.01849,WFI
58250.42722,20.26339,0.01763,21.06625,0.03970,WFI
58251.42873,20.28252,0.02534,21.11701,0.08269,WFI
58252.41871,20.23675,0.00918,21.12892,0.01914,WFI
58254.41978,20.22739,0.00721,21.14655,0.01024,WFI
58255.43565,20.24411,0.02790,21.09833,0.05957,WFI
58256.37547,20.25839,0.00668,21.15948,0.01462,WFI
58257.37157,20.25505,0.01204,21.14555,0.01158,WFI
58258.37299,20.24906,0.00530,21.12710,0.02299,WFI
58259.38452,20.24649,0.01452,21.12767,0.02801,WFI
58260.38321,20.25603,0.00651,21.09345,0.01041,WFI
58261.37483,20.26934,0.00473,21.13374,0.01175,WFI
58262.35630,20.28881,0.01115,21.11971,0.01395,WFI
58263.36474,20.28889,0.00531,21.13260,0.01110,WFI
58264.41378,20.27621,0.00686,21.14161,0.01114,WFI
58270.41974,20.27984,0.02131,20.97285,0.06008,WFI
58271.42893,20.26693,0.01290,21.08371,0.04281,WFI
58272.42100,20.29071,0.00922,21.06856,0.01781,WFI
58273.41374,20.26060,0.01039,21.10243,0.02171,WFI
58274.40643,20.28945,0.00845,21.08424,0.01758,WFI
58275.39539,20.28599,0.01044,21.09098,0.01310,WFI
58276.40330,20.27095,0.00681,21.09145,0.02097,WFI
58277.40429,20.26972,0.00874,21.10007,0.01680,WFI
58282.40880,20.22298,0.00849,21.09882,0.01271,WFI
58283.31184,20.20918,0.01624,21.07594,0.01145,WFI
58284.32542,20.19554,0.00439,21.07461,0.00826,WFI
58286.30367,20.20441,0.00442,21.10607,0.01502,WFI
58287.41736,20.17633,0.00870,21.08940,0.01423,WFI
58288.42464,20.17327,0.00531,21.07672,0.01904,WFI
58289.36925,20.16895,0.00463,21.08029,0.00912,WFI
58290.30976,20.13901,0.01231,21.08117,0.01400,WFI
58291.37832,20.14288,0.00397,21.10341,0.01316,WFI
58293.42422,20.10496,0.00700,21.01782,0.01592,WFI
58294.36040,20.05274,0.07014,21.07053,0.15922,WFI
58295.33745,20.11113,0.00651,21.03291,0.01446,WFI
58296.27731,20.09868,0.00867,21.05559,0.04517,WFI
58298.31073,20.20327,0.10307,21.23612,0.10897,WFI
