mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
57663.26390,16.68296,0.00113,18.31642,0.00280,WFI
57664.17634,16.67973,0.00212,18.31680,0.00189,WFI
57666.22045,16.68156,0.00114,18.32047,0.00171,WFI
57669.17520,16.68355,0.00270,18.31064,0.00151,WFI
57670.18064,16.67933,0.00099,18.30783,0.00392,WFI
57671.17518,16.67439,0.00141,18.30287,0.00180,WFI
57672.16923,16.67736,0.00136,18.29706,0.00174,WFI
57673.35794,16.68072,0.00433,18.30516,0.00352,WFI
57674.22203,16.68089,0.00188,18.28899,0.00874,WFI
57681.18120,16.68344,0.00107,18.30746,0.00169,WFI
57682.17921,16.67988,0.00146,18.29165,0.00242,WFI
57687.17765,16.68333,0.00084,18.31050,0.00144,WFI
57688.16618,16.68344,0.00121,18.29758,0.00161,WFI
57689.21925,16.68771,0.00122,18.30927,0.00182,WFI
57690.16928,16.68996,0.00280,18.29740,0.00432,WFI
57691.18442,16.68707,0.00144,18.30062,0.00178,WFI
57692.04007,16.68757,0.00100,18.30825,0.00246,WFI
57694.13637,16.68710,0.00162,18.31912,0.00205,WFI
57695.13432,16.68361,0.00176,18.30149,0.00410,WFI
57696.11477,16.68291,0.00135,18.31015,0.00139,WFI
57700.11571,16.66766,0.00097,18.30383,0.00248,WFI
57701.09332,16.66468,0.00151,18.30688,0.00203,WFI
57707.14798,16.64698,0.00316,18.30499,0.00705,WFI
57710.19440,16.63474,0.00181,18.28978,0.00252,WFI
57712.17122,16.63704,0.00271,18.28579,0.00868,WFI
57713.04052,16.63921,0.00127,18.30096,0.00180,WFI
57715.10930,16.63989,0.00170,18.28851,0.00696,WFI
57716.03247,16.64764,0.00316,18.26232,0.00705,WFI
57722.11108,16.63514,0.00104,18.26696,0.00257,WFI
57724.12581,16.63145,0.00154,18.27357,0.00373,WFI
57725.06051,16.64733,0.01381,18.26553,0.00425,WFI
57727.13416,16.62982,0.00123,18.27080,0.00155,WFI
57728.06319,16.62953,0.00326,18.26560,0.00177,WFI
57751.04881,16.62362,0.00118,18.26866,0.00256,WFI
57753.04581,16.61987,0.00118,18.24980,0.00159,WFI
57755.04745,16.61921,0.00136,18.25151,0.00353,WFI
57759.08013,16.61870,0.00316,18.25107,0.00705,WFI
57761.04286,16.61881,0.00127,18.26937,0.00516,WFI
57763.04191,16.60586,0.00207,18.25576,0.00716,WFI
57765.06058,16.61084,0.00139,18.24905,0.00257,WFI
57767.04589,16.60490,0.00111,18.25096,0.00512,WFI
57770.04312,16.59813,0.00108,18.25849,0.00194,WFI
57906.42204,16.58981,0.00139,18.20796,0.00373,WFI
57907.42225,16.59421,0.00316,18.21065,0.00705,WFI
57913.42585,16.59780,0.00133,18.24021,0.00361,WFI
57923.42083,16.60296,0.00119,18.22546,0.00734,WFI
57924.43194,16.60240,0.00234,18.21464,0.00267,WFI
57934.41041,16.60930,0.00168,18.22202,0.00433,WFI
57942.42367,16.62125,0.00179,18.22452,0.00226,WFI
57943.42688,16.62092,0.00174,18.22133,0.00479,WFI
57945.39950,16.62320,0.00111,18.22280,0.00235,WFI
57946.42861,16.62199,0.00177,18.22445,0.00343,WFI
57948.41760,16.62350,0.00137,18.22851,0.00233,WFI
57951.38697,16.63574,0.00213,18.23425,0.00512,WFI
57952.43250,16.62935,0.00122,18.23619,0.00245,WFI
57953.36529,16.62905,0.00172,18.23285,0.00517,WFI
57954.37709,16.62559,0.00272,18.22832,0.00253,WFI
57955.36042,16.61971,0.00219,18.22451,0.00298,WFI
57956.34752,16.62236,0.00163,18.23652,0.00451,WFI
57960.42715,16.60395,0.00116,18.23640,0.00155,WFI
57961.40581,16.60795,0.00200,18.23329,0.00341,WFI
57964.26543,16.59987,0.00258,18.24000,0.00278,WFI
57968.31784,16.59271,0.00250,18.23665,0.00337,WFI
57970.26629,16.59112,0.00613,18.21113,0.00137,WFI
57971.29012,16.58656,0.00076,18.21029,0.00153,WFI
57979.35081,16.60875,0.00212,18.21475,0.00232,WFI
57980.33052,16.60753,0.00110,18.21368,0.00407,WFI
57981.30723,16.60828,0.00183,18.21247,0.00236,WFI
57982.29895,16.60404,0.00141,18.21475,0.00402,WFI
57983.31542,16.60441,0.00107,18.21282,0.00299,WFI
57986.40194,16.60790,0.00208,18.21732,0.00210,WFI
57987.23577,16.60458,0.00200,18.21775,0.00328,WFI
57990.22307,16.61851,0.00293,18.21896,0.00649,WFI
57991.30855,16.61456,0.00184,18.23433,0.00193,WFI
57992.23581,16.61442,0.00215,18.22481,0.00242,WFI
57993.24237,16.62067,0.00196,18.22613,0.00182,WFI
57994.25420,16.62636,0.00142,18.23186,0.00178,WFI
57995.34837,16.62720,0.00208,18.22021,0.00290,WFI
57996.30899,16.63125,0.00449,18.21897,0.00210,WFI
57997.26691,16.62963,0.00202,18.22967,0.00367,WFI
58000.29831,16.63836,0.00228,18.22922,0.00230,WFI
58001.19947,16.63710,0.00332,18.22938,0.00412,WFI
58010.23538,16.63216,0.00125,18.25051,0.00229,WFI
58011.16340,16.63317,0.00106,18.25784,0.00367,WFI
58012.16399,16.63295,0.00102,18.23844,0.00220,WFI
