mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
53127.34789,-12.98306,0.00128,-11.45113,0.00530,EulerC2
53130.36623,-12.98488,0.00434,-11.44188,0.00422,EulerC2
53150.36920,-12.97756,0.00248,-11.43889,0.00440,EulerC2
53154.38862,-12.97561,0.00104,-11.44773,0.00310,EulerC2
53156.35136,-12.97607,0.00585,-11.45453,0.00203,EulerC2
53157.33605,-12.96332,0.00374,-11.43656,0.00741,EulerC2
53159.38764,-12.95614,0.00517,-11.42157,0.00089,EulerC2
53161.33341,-12.96214,0.00415,-11.44260,0.00522,EulerC2
53162.36818,-12.96811,0.00458,-11.43566,0.00885,EulerC2
53183.40031,-12.96000,0.00116,-11.46242,0.00596,EulerC2
53195.22408,-12.94725,0.00284,-11.45378,0.00041,EulerC2
53197.25583,-12.95786,0.00102,-11.45650,0.00422,EulerC2
53202.21983,-12.96105,0.00347,-11.47004,0.00673,EulerC2
53204.35265,-12.95216,0.00079,-11.46810,0.00256,EulerC2
53226.32878,-12.92263,0.00303,-11.46059,0.01141,EulerC2
53241.34450,-12.95081,0.00327,-11.44509,0.00368,EulerC2
53248.27787,-12.94035,0.00224,-11.45673,0.00775,EulerC2
53276.24689,-12.93338,0.00304,-11.47232,0.01111,EulerC2
53310.16349,-12.94564,0.00039,-11.41712,0.00250,EulerC2
53372.04244,-12.94470,0.00685,-11.41855,0.01404,EulerC2
53480.40188,-12.93458,0.00348,-11.42972,0.00432,EulerC2
53502.37282,-12.93773,0.00334,-11.43029,0.00354,EulerC2
53511.36305,-12.93920,0.00244,-11.42306,0.00354,EulerC2
53516.39523,-12.93162,0.00982,-11.43808,0.02005,EulerC2
53521.38612,-12.93181,0.00612,-11.41878,0.00961,EulerC2
53524.34980,-12.93059,0.00144,-11.41887,0.01040,EulerC2
53544.31539,-12.92226,0.00339,-11.43257,0.00332,EulerC2
53547.33111,-12.91744,0.00310,-11.42810,0.01569,EulerC2
53558.28421,-12.92937,0.00406,-11.42143,0.00838,EulerC2
