mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
53387.23409,-11.23933,0.00482,-9.38022,0.00538,EulerC2
53389.21035,-11.23778,0.00524,-9.40740,0.01837,EulerC2
53406.16104,-11.23312,0.00091,-9.42255,0.03404,EulerC2
53410.10120,-11.24277,0.00836,-9.44328,0.03814,EulerC2
53417.23095,-11.26394,0.00463,-9.38888,0.00737,EulerC2
53424.21514,-11.27744,0.00772,-9.48166,0.06895,EulerC2
53428.12783,-11.27628,0.00803,-9.36799,0.00718,EulerC2
53431.14321,-11.26152,0.00017,-9.42427,0.01730,EulerC2
53433.18153,-11.25615,0.00573,-9.37198,0.00331,EulerC2
53435.19936,-11.26481,0.00404,-9.32424,0.01931,EulerC2
53442.08297,-11.24469,0.00948,-9.30571,0.02429,EulerC2
53458.05090,-11.24709,0.00210,-9.38000,0.02044,EulerC2
53467.04643,-11.24900,0.00580,-9.34304,0.01365,EulerC2
53500.00164,-11.25444,0.00887,-9.42156,0.05401,EulerC2
53502.01145,-11.24553,0.00732,-9.39396,0.03913,EulerC2
53511.00777,-11.24187,0.00586,-9.42686,0.02457,EulerC2
53521.98773,-11.25493,0.01113,-9.43737,0.02548,EulerC2
53522.97147,-11.25878,0.00996,-9.33161,0.04627,EulerC2
53672.33452,-11.18753,0.00119,-9.21324,0.05851,EulerC2
53678.31072,-11.22812,0.00313,-9.34833,0.01808,EulerC2
53681.32941,-11.21853,0.00600,-9.38726,0.01676,EulerC2
53686.32471,-11.20936,0.00279,-9.31007,0.01478,EulerC2
53689.29101,-11.21559,0.01350,-9.32104,0.04040,EulerC2
53692.34989,-11.21211,0.00038,-9.36887,0.02226,EulerC2
53696.32597,-11.20597,0.00240,-9.26230,0.03480,EulerC2
53707.26038,-11.21833,0.00546,-9.38138,0.02334,EulerC2
53715.24840,-11.20429,0.00396,-9.33296,0.02442,EulerC2
53733.27224,-11.19919,0.00957,-9.32063,0.01635,EulerC2
53735.21285,-11.18370,0.00642,-9.31661,0.01607,EulerC2
53741.25098,-11.17906,0.00348,-9.35507,0.01981,EulerC2
53747.19351,-11.18780,0.00186,-9.41682,0.02741,EulerC2
53757.16213,-11.19731,0.00184,-9.32265,0.02124,EulerC2
53765.12715,-11.18555,0.01253,-9.37688,0.02730,EulerC2
53771.16058,-11.17950,0.00264,-9.31076,0.01852,EulerC2
53782.11367,-11.16963,0.01509,-9.44563,0.00933,EulerC2
53787.09658,-11.17619,0.00192,-9.29294,0.00530,EulerC2
53795.08793,-11.17288,0.00193,-9.26394,0.02510,EulerC2
53800.07518,-11.20546,0.00391,-9.32478,0.02380,EulerC2
53806.15094,-11.17753,0.01502,-9.14925,0.07163,EulerC2
53813.08457,-11.19115,0.00294,-9.34179,0.02178,EulerC2
53819.04846,-11.19566,0.00958,-9.34528,0.00753,EulerC2
53820.11871,-11.19863,0.00532,-9.34123,0.01845,EulerC2
53821.06932,-11.19273,0.00175,-9.34217,0.00471,EulerC2
53829.05667,-11.18998,0.00296,-9.32348,0.02653,EulerC2
53831.03665,-11.19470,0.00432,-9.30943,0.00496,EulerC2
53840.01442,-11.16804,0.00411,-9.34228,0.00804,EulerC2
53845.03644,-11.19648,0.00553,-9.33503,0.01083,EulerC2
53847.01557,-11.18975,0.00280,-9.34073,0.01319,EulerC2
53849.04073,-11.19606,0.00911,-9.37009,0.02395,EulerC2
53851.02232,-11.18851,0.00671,-9.31872,0.01997,EulerC2
53857.97519,-11.21072,0.00371,-9.35167,0.01537,EulerC2
53868.97126,-11.21972,0.01157,-9.28838,0.04870,EulerC2
53872.96859,-11.18731,0.00387,-9.37224,0.01004,EulerC2
53883.98498,-11.21926,0.00562,-9.27383,0.03111,EulerC2
53886.96381,-11.19405,0.00534,-9.24620,0.05015,EulerC2
53889.96803,-11.16752,0.00312,-9.28342,0.03591,EulerC2
54082.23988,-11.19561,0.00487,-9.30144,0.01946,EulerC2
54084.23588,-11.21119,0.00483,-9.34043,0.01923,EulerC2
54088.26314,-11.18199,0.00213,-9.36267,0.01303,EulerC2
54090.21925,-11.18124,0.00167,-9.33951,0.00244,EulerC2
54092.23851,-11.18171,0.00231,-9.34845,0.00258,EulerC2
54097.29311,-11.20839,0.00144,-9.31809,0.03614,EulerC2
54111.16444,-11.19028,0.00522,-9.33601,0.00240,EulerC2
54118.25563,-11.19541,0.00988,-9.32756,0.03724,EulerC2
54122.18286,-11.18200,0.01502,-9.30965,0.07163,EulerC2
54125.25952,-11.19045,0.00882,-9.30770,0.03966,EulerC2
54131.18253,-11.17952,0.01034,-9.16132,0.11782,EulerC2
54135.21260,-11.21339,0.00225,-9.35502,0.01090,EulerC2
54140.14544,-11.19594,0.00123,-9.27437,0.01956,EulerC2
54145.25782,-11.20778,0.00341,-9.20048,0.01153,EulerC2
