mhjd,mag_A,magerr_A,mag_B,magerr_B,telescope
53381.35999,-12.37936,0.00456,-11.22044,0.00660,EulerC2
53382.34575,-12.37540,0.00349,-11.19457,0.00491,EulerC2
53385.35634,-12.37671,0.00338,-11.21429,0.00643,EulerC2
53386.35328,-12.37344,0.00291,-11.18794,0.01011,EulerC2
53387.35926,-12.37532,0.00346,-11.20174,0.00551,EulerC2
53388.34587,-12.38184,0.00380,-11.20466,0.00698,EulerC2
53389.34223,-12.38973,0.00359,-11.20761,0.00788,EulerC2
53394.35683,-12.37312,0.00326,-11.19686,0.01397,EulerC2
53399.34904,-12.35996,0.01119,-11.23401,0.02669,EulerC2
53406.34240,-12.37311,0.00283,-11.20719,0.00435,EulerC2
53408.31228,-12.37150,0.00375,-11.20407,0.00504,EulerC2
53410.33106,-12.36892,0.00341,-11.17821,0.00693,EulerC2
53417.34405,-12.36726,0.00290,-11.17672,0.00454,EulerC2
53424.29777,-12.36993,0.00531,-11.17220,0.00860,EulerC2
53431.28018,-12.37484,0.00305,-11.19019,0.00600,EulerC2
53432.19735,-12.36573,0.00624,-11.18639,0.00657,EulerC2
53434.21673,-12.36796,0.00599,-11.18747,0.00607,EulerC2
53436.20926,-12.37613,0.00368,-11.19847,0.01079,EulerC2
53442.29542,-12.36280,0.00414,-11.17723,0.00963,EulerC2
53450.31314,-12.35543,0.00285,-11.17924,0.00431,EulerC2
53458.32263,-12.35040,0.00379,-11.17720,0.00767,EulerC2
53476.10858,-12.33755,0.00312,-11.18089,0.00463,EulerC2
53497.18107,-12.34359,0.00302,-11.22518,0.00655,EulerC2
53521.15206,-12.36127,0.00240,-11.16766,0.00717,EulerC2
53523.10408,-12.36040,0.00323,-11.15556,0.00735,EulerC2
53525.10618,-12.35890,0.00276,-11.15232,0.00538,EulerC2
53600.99777,-12.35191,0.00414,-11.17964,0.01457,EulerC2
53602.99500,-12.34632,0.00375,-11.17139,0.00869,EulerC2
53606.98828,-12.34009,0.00565,-11.18441,0.00678,EulerC2
53747.34131,-12.34038,0.00456,-11.14683,0.00620,EulerC2
53761.33150,-12.32959,0.00647,-11.13073,0.00464,EulerC2
53765.35591,-12.32946,0.00368,-11.14101,0.00492,EulerC2
53776.34046,-12.33097,0.00263,-11.12863,0.00595,EulerC2
