mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
58143.35915,19.43420,0.00892,19.57451,0.01610,19.90323,0.03530,20.04299,0.02422,WFI
58144.34682,19.41870,0.00492,19.58101,0.00455,19.91354,0.00596,20.00757,0.01654,WFI
58145.35933,19.43130,0.00333,19.56541,0.00358,19.90571,0.00948,20.05204,0.00511,WFI
58146.35393,19.43342,0.00327,19.56322,0.00657,19.90558,0.00629,20.07461,0.00528,WFI
58147.35174,19.44378,0.00359,19.56385,0.00393,19.93678,0.01348,20.05743,0.00666,WFI
58148.36080,19.43672,0.00554,19.55206,0.00611,19.92626,0.00841,20.05365,0.00940,WFI
58150.37260,19.42302,0.00706,19.55796,0.01025,19.88297,0.00958,20.09100,0.01152,WFI
58151.37519,19.43270,0.01155,19.54447,0.01271,19.93575,0.01778,20.10214,0.02176,WFI
58152.36563,19.43784,0.00487,19.56824,0.00542,19.92697,0.00733,20.08132,0.01195,WFI
58153.36313,19.44409,0.00477,19.55403,0.00521,19.93416,0.02253,20.09195,0.00948,WFI
58154.37700,19.43626,0.00732,19.57365,0.01922,19.90915,0.01103,20.07577,0.01276,WFI
58156.35571,19.41767,0.01161,19.56639,0.03400,19.95377,0.02923,20.09334,0.02816,WFI
58160.34231,19.42636,0.00527,19.56336,0.00343,19.92871,0.00449,20.10444,0.00891,WFI
58163.31982,19.42476,0.00454,19.58071,0.01409,19.96225,0.00997,20.02945,0.01026,WFI
58165.35644,19.42550,0.00473,19.56845,0.00604,19.94612,0.00503,20.07881,0.01496,WFI
58166.34447,19.41786,0.00333,19.55933,0.01286,19.93172,0.00734,20.09995,0.02073,WFI
58167.33801,19.41354,0.00514,19.56393,0.00431,19.93668,0.00829,20.11134,0.00673,WFI
58168.34154,19.42276,0.00297,19.56692,0.00443,19.93877,0.00856,20.11078,0.00556,WFI
58169.37760,19.42710,0.01258,19.56368,0.01337,19.95619,0.01592,20.05795,0.01562,WFI
58170.35478,19.40172,0.00279,19.56705,0.00310,19.93300,0.00396,20.11003,0.01363,WFI
58171.36235,19.41859,0.00358,19.56539,0.00427,19.93147,0.00490,20.10837,0.01081,WFI
58172.33781,19.40437,0.00306,19.55799,0.00488,19.92743,0.00445,20.11264,0.00511,WFI
58173.36501,19.41162,0.00290,19.55724,0.00318,19.94876,0.00415,20.13225,0.00903,WFI
58174.37824,19.39821,0.00588,19.56025,0.00315,19.92518,0.00404,20.12567,0.00466,WFI
58175.37723,19.40659,0.00451,19.55680,0.00319,19.94477,0.00417,20.11687,0.00472,WFI
58176.38699,19.39724,0.00369,19.55094,0.00332,19.95427,0.00520,20.09961,0.00495,WFI
58177.36694,19.40083,0.00562,19.53912,0.01085,19.95108,0.01109,20.08080,0.01643,WFI
58178.35764,19.39167,0.00545,19.55840,0.01319,19.96830,0.02133,20.07354,0.01090,WFI
58180.36888,19.38945,0.00588,19.52642,0.00872,19.98362,0.02066,20.11500,0.02916,WFI
58181.38803,19.39733,0.00456,19.54825,0.01277,19.92708,0.00857,20.11119,0.00827,WFI
58182.37532,19.39225,0.00431,19.54382,0.00487,19.94069,0.00676,20.13827,0.00799,WFI
58183.39770,19.38300,0.00472,19.54273,0.00771,19.95148,0.00751,20.12544,0.00862,WFI
58186.37324,19.37998,0.00542,19.54008,0.00622,19.95886,0.00889,20.11621,0.02503,WFI
58187.36596,19.37861,0.00407,19.53446,0.00459,19.94261,0.00631,20.11829,0.02293,WFI
58188.36279,19.38672,0.00782,19.53165,0.00321,19.92484,0.00443,20.12548,0.00566,WFI
58189.37688,19.38950,0.00765,19.53422,0.00348,19.95091,0.00460,20.11849,0.00671,WFI
58190.35721,19.37196,0.00271,19.53078,0.00300,19.94431,0.00400,20.12255,0.00704,WFI
58191.36642,19.37766,0.00336,19.53635,0.00389,19.94918,0.00805,20.10619,0.01042,WFI
58192.37065,19.38265,0.00437,19.52739,0.00336,19.95276,0.00832,20.10302,0.00510,WFI
58194.31725,19.38167,0.00272,19.52213,0.00310,19.92202,0.00584,20.12741,0.00589,WFI
58195.38875,19.37760,0.00360,19.52401,0.00314,19.94008,0.00413,20.14136,0.00478,WFI
58196.34408,19.38575,0.00276,19.52798,0.00403,19.95111,0.00617,20.12650,0.00451,WFI
58197.37634,19.35722,0.00276,19.52499,0.00599,19.93174,0.00406,20.11875,0.00465,WFI
58198.35611,19.37530,0.00274,19.53404,0.00303,19.93944,0.00594,20.13326,0.00456,WFI
58199.34440,19.36871,0.00311,19.53158,0.01193,19.93138,0.00907,20.08850,0.00527,WFI
58200.35348,19.37611,0.00451,19.52102,0.00322,19.92764,0.00401,20.12648,0.07114,WFI
58201.34596,19.35726,0.00365,19.51946,0.00388,19.94332,0.01080,20.11350,0.00773,WFI
58202.38489,19.36413,0.00635,19.51964,0.00394,19.93985,0.00370,20.13073,0.01674,WFI
58203.36590,19.35465,0.00273,19.51883,0.00304,19.92771,0.00945,20.13605,0.00466,WFI
58204.33324,19.35871,0.01155,19.49612,0.01271,19.96910,0.01778,20.12821,0.02176,WFI
58205.37287,19.35822,0.00447,19.51538,0.00414,19.94006,0.00428,20.11888,0.00711,WFI
58206.39213,19.35050,0.00606,19.50519,0.00558,19.92173,0.01132,20.11434,0.00577,WFI
58207.24942,19.34318,0.00466,19.49849,0.00950,19.93951,0.00769,20.12388,0.00902,WFI
58216.31677,19.33329,0.00692,19.50779,0.00443,19.90546,0.00500,20.12290,0.00460,WFI
58217.34940,19.33471,0.00426,19.49329,0.00295,19.90781,0.00400,20.12441,0.00594,WFI
58220.39828,19.33389,0.00484,19.48272,0.00343,19.93798,0.00481,20.10493,0.01005,WFI
58221.41185,19.32099,0.00248,19.50623,0.00513,19.91815,0.00445,20.13433,0.01271,WFI
58222.30805,19.32254,0.00257,19.50069,0.00307,19.91043,0.00373,20.12305,0.00626,WFI
58223.24291,19.32167,0.00592,19.48177,0.00803,19.94333,0.00503,20.06334,0.00548,WFI
58224.36456,19.31683,0.00387,19.48626,0.00325,19.91459,0.00699,20.13113,0.00594,WFI
58227.37603,19.30297,0.01015,19.49802,0.01472,19.92125,0.00513,20.09429,0.01222,WFI
58228.37419,19.32637,0.01828,19.50539,0.02020,19.97693,0.02922,20.04402,0.00700,WFI
58229.31962,19.30318,0.00272,19.47475,0.00416,19.90629,0.00655,20.08732,0.00465,WFI
58230.34292,19.31285,0.00278,19.48100,0.00311,19.91245,0.00423,20.08597,0.00562,WFI
58231.32932,19.30317,0.01433,19.49525,0.00349,19.89689,0.01084,20.10658,0.00971,WFI
58232.39475,19.29937,0.00280,19.47825,0.00344,19.90469,0.00427,20.12183,0.00502,WFI
58233.28733,19.30390,0.00428,19.47310,0.00312,19.92432,0.00767,20.11561,0.01094,WFI
58235.37328,19.27291,0.02299,19.47027,0.01321,19.89183,0.04165,20.13258,0.07645,WFI
58242.27698,19.26481,0.00697,19.46640,0.00675,19.89697,0.00971,20.11005,0.00756,WFI
58244.31347,19.26023,0.00651,19.44864,0.00431,19.90146,0.00689,20.09557,0.02339,WFI
58245.18751,19.28021,0.00737,19.42632,0.00474,19.91602,0.01593,20.09163,0.03318,WFI
58247.35528,19.25259,0.03840,19.44492,0.03699,19.86749,0.05084,20.21817,0.08027,WFI
58249.22656,19.24392,0.00451,19.43349,0.01239,19.97003,0.00796,19.96722,0.01119,WFI
58250.23585,19.23640,0.00766,19.42829,0.01270,20.01783,0.03898,19.91126,0.06515,WFI
