mhjd,mag_A,magerr_A,mag_B,magerr_B,mag_C,magerr_C,mag_D,magerr_D,telescope
58274.42545,20.60166,0.03574,20.52236,0.01917,20.55925,0.00819,21.31303,0.01978,WFI
58276.41348,20.58110,0.03034,20.51284,0.02140,20.61388,0.02844,21.19794,0.04940,WFI
58277.42146,20.56077,0.02620,20.50212,0.01240,20.59454,0.01135,21.22104,0.02760,WFI
58282.42610,20.55482,0.01254,20.52427,0.00326,20.52698,0.01282,21.26147,0.04355,WFI
58283.41217,20.55889,0.01762,20.53558,0.00480,20.53155,0.01678,21.29467,0.02177,WFI
58284.41433,20.58853,0.01427,20.48864,0.02367,20.54636,0.01164,21.20589,0.03941,WFI
58286.41821,20.59118,0.01415,20.51228,0.00165,20.53733,0.02486,21.24812,0.03633,WFI
58287.43365,20.55838,0.01267,20.49460,0.00917,20.52182,0.02988,21.26885,0.02862,WFI
58289.41355,20.53683,0.01286,20.53269,0.01799,20.51268,0.00685,21.27613,0.03395,WFI
58290.41369,20.55339,0.03034,20.50562,0.02140,20.50602,0.02844,21.32798,0.04940,WFI
58291.39665,20.54879,0.01060,20.53119,0.01105,20.53046,0.00357,21.25360,0.02084,WFI
58296.40873,20.55185,0.03119,20.63315,0.01832,20.51925,0.04558,21.23333,0.01461,WFI
58297.41133,20.51766,0.05774,20.56302,0.03881,20.51928,0.02734,21.06215,0.06410,WFI
58298.40077,20.53600,0.05142,20.48453,0.05062,20.61788,0.05892,21.10496,0.07190,WFI
58306.44139,20.59398,0.03034,20.48230,0.02140,20.53429,0.02844,21.21658,0.04940,WFI
58307.41269,20.55275,0.01596,20.50041,0.01195,20.49767,0.01302,21.29459,0.03458,WFI
58308.40987,20.57103,0.00388,20.49399,0.01382,20.54814,0.01040,21.23809,0.02968,WFI
58309.41529,20.58842,0.00158,20.48877,0.00689,20.52248,0.00275,21.24562,0.01285,WFI
58310.41667,20.55744,0.00068,20.50007,0.00991,20.55224,0.00158,21.25067,0.01190,WFI
58311.41749,20.59425,0.00669,20.50782,0.01534,20.53141,0.01178,21.18451,0.03081,WFI
58312.41840,20.53719,0.00256,20.50751,0.00413,20.54431,0.00663,21.24839,0.00477,WFI
58313.41268,20.54135,0.00382,20.48006,0.00532,20.52961,0.00503,21.25984,0.01172,WFI
58314.42229,20.53497,0.01147,20.49945,0.00191,20.52683,0.00047,21.25371,0.02061,WFI
58315.43156,20.55889,0.00830,20.48916,0.00811,20.48467,0.00408,21.25422,0.00972,WFI
58321.40985,20.51985,0.02100,20.51090,0.03625,20.52025,0.01687,21.29880,0.03718,WFI
58322.38491,20.53888,0.01128,20.50459,0.01248,20.53718,0.00543,21.28697,0.01505,WFI
58329.42072,20.51069,0.05191,20.48089,0.03934,20.53287,0.02101,21.10766,0.01216,WFI
58332.38878,20.51317,0.01100,20.50396,0.00820,20.47963,0.02554,21.24819,0.02763,WFI
58334.36619,20.52996,0.00588,20.48242,0.00639,20.53725,0.00530,21.24324,0.03582,WFI
58335.36059,20.54372,0.02227,20.49690,0.00398,20.52397,0.02030,21.25883,0.03013,WFI
58336.39048,20.49955,0.00755,20.51752,0.00183,20.50860,0.00914,21.30166,0.01838,WFI
58338.38972,20.50747,0.01007,20.51256,0.00799,20.53478,0.01091,21.21084,0.01259,WFI
58339.32556,20.50960,0.00968,20.50217,0.00906,20.50363,0.01494,21.29614,0.03676,WFI
58344.35808,20.53280,0.02170,20.52133,0.00703,20.48654,0.00708,21.22273,0.01131,WFI
58345.39297,20.54003,0.00858,20.51913,0.00461,20.49073,0.01018,21.27806,0.00498,WFI
58346.38628,20.53403,0.00254,20.51737,0.00026,20.47847,0.00557,21.28175,0.01363,WFI
58347.35647,20.53581,0.00364,20.52924,0.00506,20.49219,0.00197,21.28421,0.00621,WFI
58349.39889,20.54210,0.00655,20.54201,0.00961,20.50407,0.01125,21.26615,0.00515,WFI
58350.27041,20.54816,0.00609,20.53864,0.00321,20.51800,0.01157,21.30228,0.01150,WFI
58351.36067,20.57856,0.00673,20.54435,0.00831,20.49472,0.00863,21.29750,0.02157,WFI
58352.35426,20.54003,0.03559,20.53612,0.01399,20.53321,0.03619,21.22445,0.03571,WFI
58355.39996,20.51963,0.02311,20.56752,0.01498,20.51422,0.03784,21.30736,0.10879,WFI
58356.37497,20.62062,0.01122,20.52594,0.01198,20.48331,0.01056,21.25099,0.03405,WFI
58357.33865,20.55911,0.00573,20.49179,0.00487,20.50819,0.00643,21.30735,0.01575,WFI
58358.38869,20.55987,0.01052,20.50099,0.00802,20.51415,0.01504,21.26192,0.03633,WFI
58359.38742,20.56083,0.03034,20.52534,0.02140,20.53875,0.02844,21.25966,0.04940,WFI
58360.35275,20.47845,0.01506,20.53124,0.02222,20.55986,0.03112,21.35315,0.02288,WFI
58363.32676,20.55093,0.03501,20.54258,0.03427,20.50330,0.02413,21.26553,0.05258,WFI
58364.28258,20.55230,0.01521,20.55645,0.00409,20.54293,0.02568,21.22830,0.04334,WFI
58365.33334,20.55251,0.01506,20.55243,0.00615,20.54224,0.01416,21.26915,0.01928,WFI
58366.25850,20.54628,0.00288,20.53919,0.00576,20.53265,0.00512,21.28225,0.01570,WFI
58367.29711,20.56261,0.00293,20.53382,0.00317,20.51528,0.00907,21.26180,0.03447,WFI
58368.24952,20.56154,0.01430,20.56757,0.00559,20.53256,0.01272,21.26865,0.00688,WFI
58369.38072,20.57929,0.00774,20.56250,0.00491,20.53311,0.00549,21.27663,0.01641,WFI
58370.39750,20.55191,0.00739,20.55449,0.00906,20.53638,0.00278,21.27639,0.01982,WFI
58372.37769,20.60622,0.04284,20.57220,0.02801,20.47464,0.03492,21.33963,0.02811,WFI
58375.25764,20.57745,0.01461,20.56662,0.00207,20.50362,0.01819,21.34576,0.05530,WFI
58376.34167,20.59015,0.01177,20.56723,0.01790,20.51137,0.00145,21.28257,0.01614,WFI
58378.25764,20.59012,0.00926,20.58971,0.00486,20.54415,0.00535,21.28592,0.01633,WFI
58379.32427,20.59565,0.02481,20.61629,0.00997,20.59009,0.01022,21.21279,0.02149,WFI
58380.33969,20.60739,0.00618,20.62772,0.00700,20.53923,0.00862,21.26811,0.01949,WFI
58382.27744,20.63372,0.01011,20.63709,0.01505,20.52841,0.00637,21.27190,0.00959,WFI
58383.25268,20.57589,0.01254,20.61439,0.01458,20.55575,0.01448,21.25050,0.00501,WFI
58384.35790,20.57276,0.00378,20.64939,0.00027,20.55982,0.01986,21.26669,0.03300,WFI
58385.34679,20.58308,0.01047,20.61261,0.00721,20.54058,0.01801,21.27306,0.02456,WFI
58393.17824,20.63895,0.00906,20.66764,0.00354,20.57490,0.01345,21.30268,0.01611,WFI
58394.16460,20.64412,0.00618,20.67211,0.00498,20.60068,0.00509,21.31147,0.01434,WFI
58397.19001,20.65663,0.00526,20.67293,0.00588,20.61764,0.00122,21.29550,0.02267,WFI
58398.28086,20.64289,0.00487,20.68551,0.01211,20.60202,0.00654,21.33568,0.01591,WFI
58404.28078,20.67165,0.00943,20.70355,0.02581,20.59967,0.00693,21.33507,0.04814,WFI
58407.26406,20.68203,0.00335,20.68413,0.00547,20.63202,0.00236,21.33802,0.01687,WFI
58408.21820,20.65098,0.04779,20.68663,0.00289,20.68239,0.03767,21.24594,0.01062,WFI
58409.22893,20.70307,0.01168,20.66050,0.00770,20.62482,0.01129,21.35703,0.03943,WFI
58410.25955,20.66556,0.02001,20.67326,0.00502,20.68544,0.00688,21.33675,0.02423,WFI
58411.21567,20.70278,0.03139,20.69088,0.00754,20.61580,0.00734,21.29674,0.01736,WFI
58412.32382,20.66799,0.00459,20.65091,0.00936,20.62782,0.00538,21.33611,0.00568,WFI
58413.16788,20.67439,0.03034,20.65913,0.02140,20.61194,0.02844,21.35513,0.04940,WFI
58418.23489,20.65751,0.00759,20.66447,0.00635,20.65075,0.00907,21.33552,0.02544,WFI
58419.25949,20.70534,0.00602,20.64306,0.00110,20.65337,0.00589,21.31787,0.04003,WFI
58423.24370,20.66914,0.00222,20.64127,0.00976,20.65064,0.00834,21.31673,0.00828,WFI
58424.23292,20.68813,0.00736,20.65872,0.00548,20.62596,0.00863,21.34112,0.00688,WFI
58425.29292,20.65392,0.00075,20.65730,0.00297,20.63290,0.00342,21.35753,0.00252,WFI
58426.27033,20.69016,0.00188,20.65861,0.00241,20.65113,0.00511,21.35062,0.00718,WFI
58427.13916,20.67408,0.00645,20.64110,0.00147,20.63629,0.00201,21.35469,0.01288,WFI
58428.24989,20.65935,0.00308,20.63393,0.00369,20.63948,0.00514,21.37274,0.01337,WFI
58429.25775,20.67188,0.00899,20.66259,0.01269,20.63238,0.00592,21.36064,0.01639,WFI
58430.29101,20.67149,0.00271,20.64833,0.00372,20.64955,0.00825,21.35156,0.00925,WFI
58431.16720,20.64957,0.00878,20.64773,0.00518,20.65040,0.01208,21.37448,0.00761,WFI
58432.16328,20.63689,0.01925,20.64152,0.00869,20.66343,0.04052,21.34416,0.02731,WFI
58433.15141,20.68098,0.01102,20.62456,0.01503,20.64049,0.01319,21.39711,0.02059,WFI
58434.12630,20.60945,0.10049,20.62918,0.03612,20.75451,0.05885,21.21167,0.09484,WFI
58435.19879,20.61960,0.01207,20.63793,0.00534,20.66560,0.02100,21.36022,0.02510,WFI
58436.13911,20.64767,0.03876,20.72289,0.01266,20.60957,0.01476,21.28165,0.03903,WFI
58438.16789,20.65778,0.00669,20.63511,0.00259,20.62957,0.00575,21.36203,0.00189,WFI
58439.16765,20.64383,0.01098,20.65128,0.00977,20.63601,0.00325,21.34456,0.00326,WFI
58441.12587,20.63844,0.00986,20.64763,0.00735,20.62887,0.00641,21.35303,0.01898,WFI
58445.17087,20.60609,0.01978,20.67722,0.00688,20.61374,0.01152,21.40973,0.05437,WFI
58446.18985,20.67381,0.00145,20.65300,0.01386,20.63571,0.01060,21.30558,0.00962,WFI
58447.17880,20.69397,0.00617,20.65833,0.00760,20.62465,0.00441,21.31740,0.04055,WFI
58448.22741,20.65301,0.00754,20.68201,0.00525,20.63970,0.00962,21.38946,0.00755,WFI
58449.10352,20.66997,0.00771,20.66446,0.00494,20.64509,0.00739,21.38689,0.01074,WFI
58450.18277,20.67358,0.00909,20.67918,0.00732,20.64026,0.00473,21.34031,0.00455,WFI
58451.17711,20.66209,0.00075,20.67369,0.00171,20.64782,0.00623,21.37376,0.00975,WFI
58452.15897,20.66746,0.00896,20.67632,0.01040,20.64252,0.00198,21.34969,0.00764,WFI
58453.23105,20.68082,0.00839,20.65653,0.01479,20.62300,0.00221,21.32736,0.01213,WFI
58454.17656,20.66994,0.00711,20.69274,0.01198,20.61751,0.01410,21.34526,0.01908,WFI
58455.19019,20.66152,0.01299,20.68234,0.00513,20.65996,0.01312,21.39650,0.02218,WFI
58457.22978,20.72489,0.00762,20.63152,0.01163,20.66784,0.01599,21.38466,0.04045,WFI
58458.19443,20.62794,0.01700,20.62854,0.00779,20.68580,0.02329,21.33282,0.02025,WFI
58459.20051,20.69407,0.02717,20.65079,0.00470,20.62187,0.03377,21.36404,0.03692,WFI
58460.22323,20.65988,0.01044,20.65942,0.01733,20.62218,0.00504,21.41401,0.02672,WFI
58461.19410,20.68919,0.00994,20.67162,0.00955,20.64532,0.00650,21.38243,0.03323,WFI
58462.20012,20.67711,0.02748,20.68030,0.01446,20.61462,0.00381,21.41367,0.02686,WFI
58463.20057,20.68611,0.01256,20.66575,0.00533,20.64496,0.00722,21.33755,0.01363,WFI
58464.18024,20.68446,0.00868,20.67549,0.00178,20.64280,0.00442,21.41812,0.01236,WFI
58465.16250,20.71447,0.01407,20.66919,0.00566,20.67527,0.00813,21.35613,0.01643,WFI
58466.16421,20.66651,0.01293,20.66150,0.00690,20.67615,0.01138,21.43215,0.02896,WFI
58467.20070,20.69345,0.00933,20.65590,0.00234,20.65846,0.00474,21.41533,0.01033,WFI
58468.18164,20.68862,0.02218,20.64399,0.01778,20.69321,0.02824,21.39706,0.00745,WFI
58469.15322,20.74927,0.01829,20.62144,0.01040,20.64801,0.01587,21.34724,0.00129,WFI
58471.13390,20.65405,0.05128,20.59906,0.00665,20.67255,0.01648,21.43779,0.04550,WFI
58472.14600,20.67498,0.04398,20.56376,0.00875,20.64217,0.01963,21.39168,0.04982,WFI
58473.16157,20.66342,0.00237,20.60495,0.00668,20.64709,0.01611,21.42092,0.00633,WFI
58474.17963,20.69599,0.01813,20.64185,0.01784,20.62604,0.02711,21.34180,0.01856,WFI
58475.09752,20.67317,0.01438,20.57711,0.01281,20.65953,0.00821,21.36407,0.04032,WFI
58476.09279,20.68724,0.01806,20.56758,0.01301,20.65635,0.00915,21.37446,0.03411,WFI
58477.10987,20.68743,0.01018,20.54878,0.00863,20.65549,0.00670,21.39504,0.00359,WFI
58479.10503,20.61207,0.00137,20.51670,0.00211,20.61454,0.00275,21.34716,0.01547,WFI
58481.13258,20.64785,0.00588,20.53500,0.00211,20.65953,0.01232,21.37695,0.00927,WFI
58486.11218,20.65708,0.04137,20.46573,0.02041,20.62892,0.01989,21.37574,0.04039,WFI
58487.10499,20.60608,0.00343,20.50566,0.00295,20.61183,0.01103,21.37373,0.00849,WFI
58488.06952,20.62454,0.00279,20.48465,0.00805,20.58777,0.01080,21.34507,0.01451,WFI
58494.04301,20.58150,0.01493,20.51148,0.01172,20.58923,0.02505,21.31683,0.03007,WFI
58495.04772,20.57998,0.00687,20.48110,0.00521,20.55093,0.00961,21.35096,0.00565,WFI
58496.05286,20.60577,0.01597,20.51666,0.00749,20.61447,0.02341,21.25907,0.05417,WFI
58497.07477,20.57509,0.00128,20.50200,0.01258,20.55668,0.01834,21.28513,0.03352,WFI
58498.06779,20.56088,0.01011,20.50049,0.00575,20.51518,0.00386,21.39966,0.01043,WFI
58499.04125,20.55381,0.00422,20.50125,0.01502,20.54835,0.00990,21.32612,0.00871,WFI
58500.11274,20.56247,0.01557,20.48368,0.01429,20.52983,0.00235,21.32710,0.00445,WFI
58501.10202,20.55480,0.01077,20.48825,0.01304,20.56524,0.01161,21.26446,0.02608,WFI
